epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2387,2.90409,3.84622,2.29937,0.00251,0.1205,0.00168,0.00025,4.01291,3.87523,2.42537,3.334e-05,3.334e-05,3.334e-05
2,29.7829,2.84143,3.82452,2.17816,0.00269,0.14992,0.00217,0.00094,3.82228,3.92264,2.55684,8.25248e-05,8.25248e-05,8.25248e-05
3,36.6121,2.41512,3.75169,2.01333,0.00274,0.20588,0.00254,0.00106,3.7559,3.88325,2.51242,0.000130719,0.000130719,0.000130719
4,43.4967,2.14004,3.63975,1.873,0.00357,0.29412,0.01023,0.0052,3.54297,3.88486,2.49604,0.000177924,0.000177924,0.000177924
5,50.6353,1.93267,3.47408,1.69202,0.00435,0.35294,0.00736,0.00369,3.32199,3.83993,2.32092,0.000224138,0.000224138,0.000224138
6,57.5516,1.739,3.34254,1.55966,0.00552,0.44118,0.01026,0.00504,3.18079,3.81046,2.16954,0.000269362,0.000269362,0.000269362
7,64.7018,1.79252,3.22655,1.4918,0.00757,0.44975,0.01058,0.00643,3.00288,3.78784,2.01889,0.000313596,0.000313596,0.000313596
8,71.0446,1.58746,3.00405,1.4959,0.01014,0.46118,0.01084,0.00677,2.87468,3.7804,1.92283,0.00035684,0.00035684,0.00035684
9,77.531,1.62028,2.8747,1.41212,0.01485,0.54,0.01926,0.01223,2.53828,3.73586,1.73222,0.000399093,0.000399093,0.000399093
10,84.2251,1.51961,2.67031,1.35455,0.01896,0.56286,0.02691,0.01718,2.38365,3.70548,1.65475,0.000440356,0.000440356,0.000440356
11,91.0049,1.49973,2.54184,1.27525,0.02051,0.57429,0.04446,0.03108,2.10041,3.64489,1.50349,0.000480629,0.000480629,0.000480629
12,98.0599,1.51544,2.27351,1.28921,0.02086,0.52403,0.05982,0.04235,1.94705,3.60768,1.42394,0.000519912,0.000519912,0.000519912
13,107.437,1.47742,2.03733,1.23764,0.02265,0.53546,0.10234,0.07196,1.69701,3.47919,1.28903,0.000558205,0.000558205,0.000558205
14,119.832,1.5137,1.89846,1.20843,0.01986,0.51832,0.14964,0.09547,1.60687,3.39409,1.24607,0.000595507,0.000595507,0.000595507
15,131.127,1.4694,1.62937,1.22635,0.51506,0.19647,0.23018,0.16433,1.49986,3.17906,1.18227,0.00063182,0.00063182,0.00063182
16,142.396,1.45666,1.43765,1.15537,0.52239,0.16958,0.32496,0.22655,1.49399,3.03475,1.16578,0.000667142,0.000667142,0.000667142
17,154.116,1.39194,1.22707,1.11557,0.65968,0.24728,0.50839,0.32933,1.46505,2.68955,1.15466,0.000701474,0.000701474,0.000701474
18,165.573,1.31865,1.21445,1.12878,0.73086,0.36357,0.56084,0.35751,1.48088,2.47308,1.16078,0.000734815,0.000734815,0.000734815
19,176.241,1.32315,1.1,1.12868,0.7256,0.45563,0.61493,0.39726,1.46743,2.21217,1.1538,0.000767167,0.000767167,0.000767167
20,188.553,1.31645,1.03106,1.09175,0.72966,0.54181,0.69897,0.47208,1.43782,1.91532,1.13721,0.000798528,0.000798528,0.000798528
21,200.998,1.28476,1.02384,1.07674,0.71734,0.46989,0.5686,0.39005,1.41997,1.62672,1.1317,0.000828899,0.000828899,0.000828899
22,213.649,1.27901,0.97827,1.09198,0.75692,0.73664,0.82246,0.56735,1.38017,1.42375,1.11406,0.00085828,0.00085828,0.00085828
23,225.614,1.22186,0.98382,1.1041,0.76672,0.58753,0.66427,0.46496,1.37305,1.28551,1.10564,0.000886671,0.000886671,0.000886671
24,239.485,1.225,0.93416,1.09506,0.90187,0.54639,0.67618,0.46412,1.3688,1.19017,1.10357,0.000914071,0.000914071,0.000914071
25,250.292,1.24536,0.88042,1.06584,0.89379,0.59525,0.68849,0.47425,1.35048,1.10874,1.09802,0.000940481,0.000940481,0.000940481
26,262.659,1.17253,0.89012,1.10863,0.85627,0.6195,0.68571,0.46543,1.34891,1.05533,1.09767,0.000965901,0.000965901,0.000965901
27,275.9,1.22259,0.89225,1.07605,0.93856,0.54734,0.62971,0.43712,1.34183,0.99962,1.09512,0.000990331,0.000990331,0.000990331
28,288.855,1.20966,0.85338,1.04796,0.94456,0.83345,0.91633,0.64182,1.3299,0.97408,1.09143,0.00101377,0.00101377,0.00101377
29,298.447,1.16422,0.85904,1.07122,0.94456,0.83345,0.91633,0.64182,1.3299,0.97408,1.09143,0.00103622,0.00103622,0.00103622
30,310.317,1.15752,0.86584,1.06504,0.95758,0.81916,0.91994,0.6564,1.30085,0.94057,1.07922,0.00105768,0.00105768,0.00105768
31,324.205,1.1075,0.77471,1.05321,0.95513,0.82651,0.91985,0.66064,1.29109,0.91147,1.07026,0.00107815,0.00107815,0.00107815
32,337.758,1.16226,0.76685,1.01701,0.94113,0.63012,0.70523,0.50905,1.26648,0.87286,1.05997,0.00109763,0.00109763,0.00109763
33,347.779,1.15877,0.81441,1.03877,0.93782,0.84124,0.92748,0.66311,1.26648,0.87286,1.05997,0.00111612,0.00111612,0.00111612
34,361.367,1.18944,0.8359,1.03902,0.90037,0.58569,0.64707,0.46082,1.25608,0.85223,1.05717,0.00112239,0.00112239,0.00112239
